Well Row,Well Col,Content,Raw Data (No filter),
A,1,Sample X1,215856,
A,2,Sample X2,215024,
A,3,Sample X3,130957,
A,4,Sample X4,229280,
A,5,Sample X5,235116,
A,6,Sample X6,233923,
A,7,Sample X7,203472,
A,8,Sample X8,170293,
A,9,Sample X9,327,
A,10,Sample X10,233,
A,11,Sample X11,246,
A,12,Sample X12,320,
A,13,Sample X13,104641,
A,14,Sample X14,166075,
A,15,Sample X15,229369,
A,16,Sample X16,226065,
A,17,Sample X17,212413,
A,18,Sample X18,233316,
A,19,Sample X19,210625,
A,20,Sample X20,228069,
A,21,Sample X21,233654,
A,22,Sample X22,202017,
A,23,Sample X23,231265,
A,24,Sample X24,257286,
B,1,Sample X25,284817,
B,2,Sample X26,242260,
B,3,Sample X27,200414,
B,4,Sample X28,223670,
B,5,Sample X29,238464,
B,6,Sample X30,231153,
B,7,Sample X31,216747,
B,8,Sample X32,200212,
B,9,Sample X33,10209,
B,10,Sample X34,9908,
B,11,Sample X35,9362,
B,12,Sample X36,9137,
B,13,Sample X37,23196,
B,14,Sample X38,28375,
B,15,Sample X39,38135,
B,16,Sample X40,61145,
B,17,Sample X41,95062,
B,18,Sample X42,150067,
B,19,Sample X43,145641,
B,20,Sample X44,198066,
B,21,Sample X45,203733,
B,22,Sample X46,219723,
B,23,Sample X47,170090,
B,24,Sample X48,263730,
C,1,Sample X49,241678,
C,2,Sample X50,81564,
C,3,Sample X51,123359,
C,4,Sample X52,180470,
C,5,Sample X53,213022,
C,6,Sample X54,247197,
C,7,Sample X55,243574,
C,8,Sample X56,214235,
C,9,Sample X57,224238,
C,10,Sample X58,219856,
C,11,Sample X59,217315,
C,12,Sample X60,215493,
C,13,Sample X61,164986,
C,14,Sample X62,205257,
C,15,Sample X63,201000,
C,16,Sample X64,201849,
C,17,Sample X65,209940,
C,18,Sample X66,216143,
C,19,Sample X67,161913,
C,20,Sample X68,233482,
C,21,Sample X69,235831,
C,22,Sample X70,208566,
C,23,Sample X71,216867,
C,24,Sample X72,264674,
D,1,Sample X73,228421,
D,2,Sample X74,23789,
D,3,Sample X75,25857,
D,4,Sample X76,33459,
D,5,Sample X77,43400,
D,6,Sample X78,53106,
D,7,Sample X79,83105,
D,8,Sample X80,166751,
D,9,Sample X81,162648,
D,10,Sample X82,182780,
D,11,Sample X83,204973,
D,12,Sample X84,187216,
D,13,Sample X85,39790,
D,14,Sample X86,47094,
D,15,Sample X87,164052,
D,16,Sample X88,176790,
D,17,Sample X89,235547,
D,18,Sample X90,208606,
D,19,Sample X91,203778,
D,20,Sample X92,176608,
D,21,Sample X93,214310,
D,22,Sample X94,229429,
D,23,Sample X95,191884,
D,24,Sample X96,240114,
E,1,Sample X97,249951,
E,2,Sample X98,9988,
E,3,Sample X99,22406,
E,4,Sample X100,48450,
E,5,Sample X101,117362,
E,6,Sample X102,171159,
E,7,Sample X103,204622,
E,8,Sample X104,217392,
E,9,Sample X105,219673,
E,10,Sample X106,241991,
E,11,Sample X107,265795,
E,12,Sample X108,218933,
E,13,Sample X109,1918,
E,14,Sample X110,1892,
E,15,Sample X111,2717,
E,16,Sample X112,104671,
E,17,Sample X113,158375,
E,18,Sample X114,182481,
E,19,Sample X115,216183,
E,20,Sample X116,212554,
E,21,Sample X117,250828,
E,22,Sample X118,210779,
E,23,Sample X119,218833,
E,24,Sample X120,240859,
F,1,Sample X121,245003,
F,2,Sample X122,40557,
F,3,Sample X123,45155,
F,4,Sample X124,48792,
F,5,Sample X125,70270,
F,6,Sample X126,132647,
F,7,Sample X127,154294,
F,8,Sample X128,188529,
F,9,Sample X129,207711,
F,10,Sample X130,203213,
F,11,Sample X131,175120,
F,12,Sample X132,166324,
F,13,Sample X133,80920,
F,14,Sample X134,123775,
F,15,Sample X135,172364,
F,16,Sample X136,200016,
F,17,Sample X137,227254,
F,18,Sample X138,243786,
F,19,Sample X139,228342,
F,20,Sample X140,195233,
F,21,Sample X141,217708,
F,22,Sample X142,181489,
F,23,Sample X143,215930,
F,24,Sample X144,215328,
G,1,Sample X145,259939,
G,2,Sample X146,1785,
G,3,Sample X147,1848,
G,4,Sample X148,223264,
G,5,Sample X149,257799,
G,6,Sample X150,203309,
G,7,Sample X151,217705,
G,8,Sample X152,202253,
G,9,Sample X153,192089,
G,10,Sample X154,156548,
G,11,Sample X155,188861,
G,12,Sample X156,166616,
G,13,Sample X157,96820,
G,14,Sample X158,104985,
G,15,Sample X159,143016,
G,16,Sample X160,202723,
G,17,Sample X161,219766,
G,18,Sample X162,216710,
G,19,Sample X163,201964,
G,20,Sample X164,165766,
G,21,Sample X165,179210,
G,22,Sample X166,243111,
G,23,Sample X167,220128,
G,24,Sample X168,227856,
H,1,Sample X169,258240,
H,2,Sample X170,12884,
H,3,Sample X171,35497,
H,4,Sample X172,133417,
H,5,Sample X173,238813,
H,6,Sample X174,253929,
H,7,Sample X175,226676,
H,8,Sample X176,178725,
H,9,Sample X177,181286,
H,10,Sample X178,205438,
H,11,Sample X179,176418,
H,12,Sample X180,189608,
H,13,Sample X181,18512,
H,14,Sample X182,40542,
H,15,Sample X183,193916,
H,16,Sample X184,146178,
H,17,Sample X185,171738,
H,18,Sample X186,226846,
H,19,Sample X187,193072,
H,20,Sample X188,182552,
H,21,Sample X189,175793,
H,22,Sample X190,231514,
H,23,Sample X191,233765,
H,24,Sample X192,259911,
I,1,Sample X193,247099,
I,2,Sample X194,73278,
I,3,Sample X195,81528,
I,4,Sample X196,119174,
I,5,Sample X197,175256,
I,6,Sample X198,200940,
I,7,Sample X199,220823,
I,8,Sample X200,206689,
I,9,Sample X201,205375,
I,10,Sample X202,185940,
I,11,Sample X203,191550,
I,12,Sample X204,178477,
I,13,Sample X205,164327,
I,14,Sample X206,161906,
I,15,Sample X207,159986,
I,16,Sample X208,163657,
I,17,Sample X209,190343,
I,18,Sample X210,80788,
I,19,Sample X211,123019,
I,20,Sample X212,172827,
I,21,Sample X213,188461,
I,22,Sample X214,242795,
I,23,Sample X215,225978,
I,24,Sample X216,231227,
J,1,Sample X217,272882,
J,2,Sample X218,20806,
J,3,Sample X219,35414,
J,4,Sample X220,84344,
J,5,Sample X221,187796,
J,6,Sample X222,196154,
J,7,Sample X223,226105,
J,8,Sample X224,245867,
J,9,Sample X225,210990,
J,10,Sample X226,191191,
J,11,Sample X227,157762,
J,12,Sample X228,171477,
J,13,Sample X229,186442,
J,14,Sample X230,187012,
J,15,Sample X231,183574,
J,16,Sample X232,186131,
J,17,Sample X233,163377,
J,18,Sample X234,212847,
J,19,Sample X235,206729,
J,20,Sample X236,182518,
J,21,Sample X237,203356,
J,22,Sample X238,231485,
J,23,Sample X239,206752,
J,24,Sample X240,227872,
K,1,Sample X241,303233,
K,2,Sample X242,162293,
K,3,Sample X243,173688,
K,4,Sample X244,234617,
K,5,Sample X245,244161,
K,6,Sample X246,230064,
K,7,Sample X247,239170,
K,8,Sample X248,247514,
K,9,Sample X249,218917,
K,10,Sample X250,212179,
K,11,Sample X251,202291,
K,12,Sample X252,177612,
K,13,Sample X253,1830,
K,14,Sample X254,1714,
K,15,Sample X255,8029,
K,16,Sample X256,73546,
K,17,Sample X257,130292,
K,18,Sample X258,181657,
K,19,Sample X259,194674,
K,20,Sample X260,196821,
K,21,Sample X261,200071,
K,22,Sample X262,218383,
K,23,Sample X263,219932,
K,24,Sample X264,261889,
L,1,Sample X265,295137,
L,2,Sample X266,92383,
L,3,Sample X267,139059,
L,4,Sample X268,182872,
L,5,Sample X269,180688,
L,6,Sample X270,153242,
L,7,Sample X271,168606,
L,8,Sample X272,198576,
L,9,Sample X273,202496,
L,10,Sample X274,172807,
L,11,Sample X275,207293,
L,12,Sample X276,182594,
L,13,Sample X277,248737,
L,14,Sample X278,225913,
L,15,Sample X279,239295,
L,16,Sample X280,239782,
L,17,Sample X281,257050,
L,18,Sample X282,202882,
L,19,Sample X283,217474,
L,20,Sample X284,206995,
L,21,Sample X285,205077,
L,22,Sample X286,226692,
L,23,Sample X287,216626,
L,24,Sample X288,267598,
M,1,Sample X289,275066,
M,2,Sample X290,6412,
M,3,Sample X291,6134,
M,4,Sample X292,11307,
M,5,Sample X293,36302,
M,6,Sample X294,88847,
M,7,Sample X295,139674,
M,8,Sample X296,185450,
M,9,Sample X297,204169,
M,10,Sample X298,237276,
M,11,Sample X299,229992,
M,12,Sample X300,217163,
M,13,Sample X301,2475,
M,14,Sample X302,20051,
M,15,Sample X303,77979,
M,16,Sample X304,152911,
M,17,Sample X305,236028,
M,18,Sample X306,226673,
M,19,Sample X307,247947,
M,20,Sample X308,228898,
M,21,Sample X309,205736,
M,22,Sample X310,217697,
M,23,Sample X311,220051,
M,24,Sample X312,268130,
N,1,Sample X313,264042,
N,2,Sample X314,8919,
N,3,Sample X315,29832,
N,4,Sample X316,97999,
N,5,Sample X317,170947,
N,6,Sample X318,219333,
N,7,Sample X319,216812,
N,8,Sample X320,259796,
N,9,Sample X321,248404,
N,10,Sample X322,272094,
N,11,Sample X323,237045,
N,12,Sample X324,220373,
N,13,Sample X325,23251,
N,14,Sample X326,76849,
N,15,Sample X327,150748,
N,16,Sample X328,209024,
N,17,Sample X329,231772,
N,18,Sample X330,257578,
N,19,Sample X331,253625,
N,20,Sample X332,215272,
N,21,Sample X333,206067,
N,22,Sample X334,204702,
N,23,Sample X335,263219,
N,24,Sample X336,271977,
O,1,Sample X337,249208,
O,2,Sample X338,233496,
O,3,Sample X339,221005,
O,4,Sample X340,235200,
O,5,Sample X341,181011,
O,6,Sample X342,229259,
O,7,Sample X343,87295,
O,8,Sample X344,145821,
O,9,Sample X345,205906,
O,10,Sample X346,234536,
O,11,Sample X347,220735,
O,12,Sample X348,228124,
O,13,Sample X349,101135,
O,14,Sample X350,130598,
O,15,Sample X351,167607,
O,16,Sample X352,241276,
O,17,Sample X353,254547,
O,18,Sample X354,266232,
O,19,Sample X355,239986,
O,20,Sample X356,255302,
O,21,Sample X357,208397,
O,22,Sample X358,232741,
O,23,Sample X359,225216,
O,24,Sample X360,281910,
P,1,Sample X361,330339,
P,2,Sample X362,275273,
P,3,Sample X363,242170,
P,4,Sample X364,250644,
P,5,Sample X365,260764,
P,6,Sample X366,262991,
P,7,Sample X367,207741,
P,8,Sample X368,232053,
P,9,Sample X369,248554,
P,10,Sample X370,251803,
P,11,Sample X371,270485,
P,12,Sample X372,258026,
P,13,Sample X373,268629,
P,14,Sample X374,244580,
P,15,Sample X375,267545,
P,16,Sample X376,270754,
P,17,Sample X377,252206,
P,18,Sample X378,218324,
P,19,Sample X379,242967,
P,20,Sample X380,278487,
P,21,Sample X381,224339,
P,22,Sample X382,248362,
P,23,Sample X383,246223,
P,24,Sample X384,318868,
