Well Row,Well Col,Content,Raw Data (No filter),
A,1,Sample X1,252404,
A,2,Sample X2,259194,
A,3,Sample X3,296740,
A,4,Sample X4,281901,
A,5,Sample X5,256508,
A,6,Sample X6,273982,
A,7,Sample X7,253765,
A,8,Sample X8,229555,
A,9,Sample X9,288,
A,10,Sample X10,196,
A,11,Sample X11,229,
A,12,Sample X12,248,
A,13,Sample X13,91220,
A,14,Sample X14,139589,
A,15,Sample X15,237338,
A,16,Sample X16,236378,
A,17,Sample X17,235423,
A,18,Sample X18,276287,
A,19,Sample X19,175057,
A,20,Sample X20,276983,
A,21,Sample X21,277299,
A,22,Sample X22,309908,
A,23,Sample X23,259519,
A,24,Sample X24,270642,
B,1,Sample X25,297535,
B,2,Sample X26,298225,
B,3,Sample X27,270205,
B,4,Sample X28,280194,
B,5,Sample X29,263601,
B,6,Sample X30,296039,
B,7,Sample X31,266859,
B,8,Sample X32,239940,
B,9,Sample X33,13258,
B,10,Sample X34,14555,
B,11,Sample X35,15953,
B,12,Sample X36,13203,
B,13,Sample X37,24493,
B,14,Sample X38,23043,
B,15,Sample X39,38954,
B,16,Sample X40,60916,
B,17,Sample X41,97640,
B,18,Sample X42,125707,
B,19,Sample X43,198505,
B,20,Sample X44,265326,
B,21,Sample X45,266833,
B,22,Sample X46,214166,
B,23,Sample X47,297857,
B,24,Sample X48,281999,
C,1,Sample X49,263544,
C,2,Sample X50,93943,
C,3,Sample X51,154477,
C,4,Sample X52,193288,
C,5,Sample X53,248334,
C,6,Sample X54,244426,
C,7,Sample X55,280142,
C,8,Sample X56,284025,
C,9,Sample X57,273379,
C,10,Sample X58,260636,
C,11,Sample X59,303733,
C,12,Sample X60,237277,
C,13,Sample X61,223204,
C,14,Sample X62,225780,
C,15,Sample X63,263870,
C,16,Sample X64,261161,
C,17,Sample X65,234557,
C,18,Sample X66,266810,
C,19,Sample X67,231844,
C,20,Sample X68,291117,
C,21,Sample X69,292734,
C,22,Sample X70,326949,
C,23,Sample X71,218669,
C,24,Sample X72,276266,
D,1,Sample X73,296656,
D,2,Sample X74,26768,
D,3,Sample X75,30502,
D,4,Sample X76,38201,
D,5,Sample X77,46266,
D,6,Sample X78,42971,
D,7,Sample X79,53474,
D,8,Sample X80,92999,
D,9,Sample X81,189005,
D,10,Sample X82,228440,
D,11,Sample X83,237917,
D,12,Sample X84,263871,
D,13,Sample X85,42442,
D,14,Sample X86,45333,
D,15,Sample X87,171062,
D,16,Sample X88,221826,
D,17,Sample X89,255114,
D,18,Sample X90,255318,
D,19,Sample X91,268014,
D,20,Sample X92,237506,
D,21,Sample X93,283803,
D,22,Sample X94,266413,
D,23,Sample X95,204172,
D,24,Sample X96,267303,
E,1,Sample X97,245648,
E,2,Sample X98,15494,
E,3,Sample X99,23892,
E,4,Sample X100,57136,
E,5,Sample X101,133600,
E,6,Sample X102,190928,
E,7,Sample X103,199763,
E,8,Sample X104,233391,
E,9,Sample X105,289373,
E,10,Sample X106,269661,
E,11,Sample X107,242874,
E,12,Sample X108,245690,
E,13,Sample X109,1560,
E,14,Sample X110,1534,
E,15,Sample X111,2794,
E,16,Sample X112,109601,
E,17,Sample X113,169937,
E,18,Sample X114,202559,
E,19,Sample X115,254464,
E,20,Sample X116,275146,
E,21,Sample X117,259172,
E,22,Sample X118,276648,
E,23,Sample X119,266494,
E,24,Sample X120,249798,
F,1,Sample X121,271566,
F,2,Sample X122,33312,
F,3,Sample X123,43742,
F,4,Sample X124,35291,
F,5,Sample X125,73832,
F,6,Sample X126,112781,
F,7,Sample X127,115097,
F,8,Sample X128,178224,
F,9,Sample X129,192188,
F,10,Sample X130,254106,
F,11,Sample X131,243460,
F,12,Sample X132,254611,
F,13,Sample X133,100721,
F,14,Sample X134,182606,
F,15,Sample X135,190220,
F,16,Sample X136,267860,
F,17,Sample X137,271722,
F,18,Sample X138,270672,
F,19,Sample X139,298389,
F,20,Sample X140,265604,
F,21,Sample X141,290866,
F,22,Sample X142,268063,
F,23,Sample X143,260404,
F,24,Sample X144,250366,
G,1,Sample X145,295680,
G,2,Sample X146,1462,
G,3,Sample X147,33640,
G,4,Sample X148,233943,
G,5,Sample X149,291805,
G,6,Sample X150,248543,
G,7,Sample X151,268080,
G,8,Sample X152,250309,
G,9,Sample X153,234444,
G,10,Sample X154,227977,
G,11,Sample X155,271707,
G,12,Sample X156,246552,
G,13,Sample X157,121962,
G,14,Sample X158,127446,
G,15,Sample X159,205460,
G,16,Sample X160,251883,
G,17,Sample X161,269454,
G,18,Sample X162,260018,
G,19,Sample X163,251887,
G,20,Sample X164,255631,
G,21,Sample X165,279737,
G,22,Sample X166,232426,
G,23,Sample X167,268151,
G,24,Sample X168,212322,
H,1,Sample X169,245224,
H,2,Sample X170,16149,
H,3,Sample X171,21485,
H,4,Sample X172,112047,
H,5,Sample X173,288996,
H,6,Sample X174,418097,
H,7,Sample X175,289268,
H,8,Sample X176,286074,
H,9,Sample X177,233335,
H,10,Sample X178,268078,
H,11,Sample X179,295706,
H,12,Sample X180,271819,
H,13,Sample X181,19865,
H,14,Sample X182,30519,
H,15,Sample X183,170340,
H,16,Sample X184,251913,
H,17,Sample X185,285574,
H,18,Sample X186,299372,
H,19,Sample X187,257632,
H,20,Sample X188,249245,
H,21,Sample X189,266465,
H,22,Sample X190,274436,
H,23,Sample X191,276709,
H,24,Sample X192,289280,
I,1,Sample X193,306626,
I,2,Sample X194,104723,
I,3,Sample X195,82323,
I,4,Sample X196,145022,
I,5,Sample X197,243244,
I,6,Sample X198,287809,
I,7,Sample X199,267230,
I,8,Sample X200,249305,
I,9,Sample X201,279957,
I,10,Sample X202,272333,
I,11,Sample X203,315044,
I,12,Sample X204,279884,
I,13,Sample X205,226521,
I,14,Sample X206,246571,
I,15,Sample X207,302186,
I,16,Sample X208,291506,
I,17,Sample X209,298935,
