Well Row,Well Col,Content,Raw Data (No filter),
A,1,Sample X1,515715,
A,2,Sample X2,450361,
A,3,Sample X3,427891,
A,4,Sample X4,429230,
A,5,Sample X5,397315,
A,6,Sample X6,408293,
A,7,Sample X7,390159,
A,8,Sample X8,415522,
A,9,Sample X9,569,
A,10,Sample X10,292,
A,11,Sample X11,328,
A,12,Sample X12,436,
A,13,Sample X13,117968,
A,14,Sample X14,275801,
A,15,Sample X15,335104,
A,16,Sample X16,349658,
A,17,Sample X17,341050,
A,18,Sample X18,379607,
A,19,Sample X19,373437,
A,20,Sample X20,377540,
A,21,Sample X21,350805,
A,22,Sample X22,391648,
A,23,Sample X23,434389,
A,24,Sample X24,452176,
B,1,Sample X25,469587,
B,2,Sample X26,444102,
B,3,Sample X27,402411,
B,4,Sample X28,434464,
B,5,Sample X29,408841,
B,6,Sample X30,400062,
B,7,Sample X31,410763,
B,8,Sample X32,412199,
B,9,Sample X33,25039,
B,10,Sample X34,23531,
B,11,Sample X35,24725,
B,12,Sample X36,23610,
B,13,Sample X37,39202,
B,14,Sample X38,40793,
B,15,Sample X39,69585,
B,16,Sample X40,97374,
B,17,Sample X41,162328,
B,18,Sample X42,244835,
B,19,Sample X43,315875,
B,20,Sample X44,363559,
B,21,Sample X45,376305,
B,22,Sample X46,365383,
B,23,Sample X47,381584,
B,24,Sample X48,417982,
C,1,Sample X49,453953,
C,2,Sample X50,2687,
C,3,Sample X51,2196,
C,4,Sample X52,2873,
C,5,Sample X53,60554,
C,6,Sample X54,161788,
C,7,Sample X55,220452,
C,8,Sample X56,322206,
C,9,Sample X57,362940,
C,10,Sample X58,386667,
C,11,Sample X59,395773,
C,12,Sample X60,407147,
C,13,Sample X61,431653,
C,14,Sample X62,421627,
C,15,Sample X63,383208,
C,16,Sample X64,408790,
C,17,Sample X65,394420,
C,18,Sample X66,384524,
C,19,Sample X67,398734,
C,20,Sample X68,413623,
C,21,Sample X69,421227,
C,22,Sample X70,413570,
C,23,Sample X71,440670,
C,24,Sample X72,434141,
D,1,Sample X73,493739,
D,2,Sample X74,93665,
D,3,Sample X75,181784,
D,4,Sample X76,312595,
D,5,Sample X77,419964,
D,6,Sample X78,404952,
D,7,Sample X79,376505,
D,8,Sample X80,395579,
D,9,Sample X81,398523,
D,10,Sample X82,404831,
D,11,Sample X83,399825,
D,12,Sample X84,386751,
D,13,Sample X85,395970,
D,14,Sample X86,332444,
D,15,Sample X87,350425,
D,16,Sample X88,385030,
D,17,Sample X89,388579,
D,18,Sample X90,386501,
D,19,Sample X91,395517,
D,20,Sample X92,394797,
D,21,Sample X93,411387,
D,22,Sample X94,395716,
D,23,Sample X95,407053,
D,24,Sample X96,432480,
E,1,Sample X97,451551,
E,2,Sample X98,12424,
E,3,Sample X99,38855,
E,4,Sample X100,105114,
E,5,Sample X101,214702,
E,6,Sample X102,303529,
E,7,Sample X103,325946,
E,8,Sample X104,360009,
E,9,Sample X105,403387,
E,10,Sample X106,388410,
E,11,Sample X107,410907,
E,12,Sample X108,416534,
E,13,Sample X109,2497,
E,14,Sample X110,1885,
E,15,Sample X111,2310,
E,16,Sample X112,2225,
E,17,Sample X113,2648,
E,18,Sample X114,2435,
E,19,Sample X115,3509,
E,20,Sample X116,90533,
E,21,Sample X117,374813,
E,22,Sample X118,407590,
E,23,Sample X119,432061,
E,24,Sample X120,447472,
F,1,Sample X121,432688,
F,2,Sample X122,2124,
F,3,Sample X123,4362,
F,4,Sample X124,22816,
F,5,Sample X125,132343,
F,6,Sample X126,263267,
F,7,Sample X127,323630,
F,8,Sample X128,379106,
F,9,Sample X129,375768,
F,10,Sample X130,398247,
F,11,Sample X131,396504,
F,12,Sample X132,395220,
F,13,Sample X133,77252,
F,14,Sample X134,88124,
F,15,Sample X135,176628,
F,16,Sample X136,105706,
F,17,Sample X137,302082,
F,18,Sample X138,156316,
F,19,Sample X139,310233,
F,20,Sample X140,387091,
F,21,Sample X141,408369,
F,22,Sample X142,410759,
F,23,Sample X143,402956,
F,24,Sample X144,429497,
G,1,Sample X145,433950,
G,2,Sample X146,3877,
G,3,Sample X147,9695,
G,4,Sample X148,46348,
G,5,Sample X149,153744,
G,6,Sample X150,245657,
G,7,Sample X151,286989,
G,8,Sample X152,340427,
G,9,Sample X153,401190,
G,10,Sample X154,406078,
G,11,Sample X155,414920,
G,12,Sample X156,409653,
G,13,Sample X157,374686,
G,14,Sample X158,419549,
G,15,Sample X159,396046,
G,16,Sample X160,430875,
G,17,Sample X161,402353,
G,18,Sample X162,404649,
G,19,Sample X163,402567,
G,20,Sample X164,397955,
G,21,Sample X165,408164,
G,22,Sample X166,431249,
G,23,Sample X167,439696,
G,24,Sample X168,425692,
H,1,Sample X169,458952,
H,2,Sample X170,388094,
H,3,Sample X171,400282,
H,4,Sample X172,413384,
H,5,Sample X173,414103,
H,6,Sample X174,412602,
H,7,Sample X175,387089,
H,8,Sample X176,404139,
H,9,Sample X177,411909,
H,10,Sample X178,404187,
H,11,Sample X179,414601,
H,12,Sample X180,403816,
H,13,Sample X181,415792,
H,14,Sample X182,407291,
H,15,Sample X183,390564,
H,16,Sample X184,413685,
H,17,Sample X185,411424,
H,18,Sample X186,403046,
H,19,Sample X187,411735,
H,20,Sample X188,421918,
H,21,Sample X189,423189,
H,22,Sample X190,429557,
H,23,Sample X191,449139,
H,24,Sample X192,418899,
I,1,Sample X193,488108,
I,2,Sample X194,35736,
I,3,Sample X195,71571,
I,4,Sample X196,118855,
I,5,Sample X197,196037,
I,6,Sample X198,336230,
I,7,Sample X199,391365,
I,8,Sample X200,409278,
I,9,Sample X201,426314,
I,10,Sample X202,437874,
I,11,Sample X203,438770,
I,12,Sample X204,444956,
I,13,Sample X205,2704,
I,14,Sample X206,9057,
I,15,Sample X207,183731,
I,16,Sample X208,311315,
I,17,Sample X209,354361,
I,18,Sample X210,421028,
I,19,Sample X211,429791,
I,20,Sample X212,397452,
I,21,Sample X213,454773,
I,22,Sample X214,432892,
I,23,Sample X215,442804,
I,24,Sample X216,457037,
J,1,Sample X217,441474,
J,2,Sample X218,221773,
J,3,Sample X219,263013,
J,4,Sample X220,321301,
J,5,Sample X221,384938,
J,6,Sample X222,387352,
J,7,Sample X223,413633,
J,8,Sample X224,426771,
J,9,Sample X225,434254,
J,10,Sample X226,425497,
J,11,Sample X227,439548,
J,12,Sample X228,418548,
J,13,Sample X229,8729,
J,14,Sample X230,34723,
J,15,Sample X231,77784,
J,16,Sample X232,149437,
J,17,Sample X233,201017,
J,18,Sample X234,263907,
J,19,Sample X235,350247,
J,20,Sample X236,385616,
J,21,Sample X237,396937,
J,22,Sample X238,421769,
J,23,Sample X239,418769,
J,24,Sample X240,472518,
K,1,Sample X241,457288,
K,2,Sample X242,98035,
K,3,Sample X243,218786,
K,4,Sample X244,357447,
K,5,Sample X245,409359,
K,6,Sample X246,405871,
K,7,Sample X247,386674,
K,8,Sample X248,410043,
K,9,Sample X249,438038,
K,10,Sample X250,427019,
K,11,Sample X251,455099,
K,12,Sample X252,430578,
K,13,Sample X253,417176,
K,14,Sample X254,420447,
K,15,Sample X255,420923,
K,16,Sample X256,432833,
K,17,Sample X257,445898,
K,18,Sample X258,445661,
K,19,Sample X259,430442,
K,20,Sample X260,423745,
K,21,Sample X261,433640,
K,22,Sample X262,435766,
K,23,Sample X263,453555,
K,24,Sample X264,452588,
L,1,Sample X265,436922,
L,2,Sample X266,98420,
L,3,Sample X267,277883,
L,4,Sample X268,328473,
L,5,Sample X269,397452,
L,6,Sample X270,435444,
L,7,Sample X271,415226,
L,8,Sample X272,424682,
L,9,Sample X273,447642,
L,10,Sample X274,444510,
L,11,Sample X275,456663,
L,12,Sample X276,458596,
L,13,Sample X277,403411,
L,14,Sample X278,441076,
L,15,Sample X279,416978,
L,16,Sample X280,444947,
L,17,Sample X281,441337,
L,18,Sample X282,435057,
L,19,Sample X283,405046,
L,20,Sample X284,433269,
L,21,Sample X285,422336,
L,22,Sample X286,435180,
L,23,Sample X287,415016,
L,24,Sample X288,438938,
M,1,Sample X289,460440,
M,2,Sample X290,92837,
M,3,Sample X291,110350,
M,4,Sample X292,186730,
M,5,Sample X293,206178,
M,6,Sample X294,213891,
M,7,Sample X295,253954,
M,8,Sample X296,379003,
M,9,Sample X297,451663,
M,10,Sample X298,471125,
M,11,Sample X299,438146,
M,12,Sample X300,449555,
M,13,Sample X301,57245,
M,14,Sample X302,61312,
M,15,Sample X303,83440,
M,16,Sample X304,112110,
M,17,Sample X305,91403,
M,18,Sample X306,105763,
M,19,Sample X307,202320,
M,20,Sample X308,309755,
M,21,Sample X309,370177,
M,22,Sample X310,405298,
M,23,Sample X311,464224,
M,24,Sample X312,448467,
N,1,Sample X313,486034,
N,2,Sample X314,2064,
N,3,Sample X315,3443,
N,4,Sample X316,9772,
N,5,Sample X317,22722,
N,6,Sample X318,39639,
N,7,Sample X319,63932,
N,8,Sample X320,119010,
N,9,Sample X321,236277,
N,10,Sample X322,376982,
N,11,Sample X323,426147,
N,12,Sample X324,478251,
N,13,Sample X325,51899,
N,14,Sample X326,70195,
N,15,Sample X327,95848,
N,16,Sample X328,168951,
N,17,Sample X329,235333,
N,18,Sample X330,277820,
N,19,Sample X331,349980,
N,20,Sample X332,397793,
N,21,Sample X333,457604,
N,22,Sample X334,433165,
N,23,Sample X335,404307,
N,24,Sample X336,468401,
O,1,Sample X337,508530,
O,2,Sample X338,37674,
O,3,Sample X339,43846,
O,4,Sample X340,102196,
O,5,Sample X341,243910,
O,6,Sample X342,328698,
O,7,Sample X343,359555,
O,8,Sample X344,417431,
O,9,Sample X345,486368,
O,10,Sample X346,493486,
O,11,Sample X347,471667,
O,12,Sample X348,442170,
O,13,Sample X349,270111,
O,14,Sample X350,304711,
O,15,Sample X351,319219,
O,16,Sample X352,398156,
O,17,Sample X353,435799,
O,18,Sample X354,352776,
O,19,Sample X355,415790,
O,20,Sample X356,420682,
