Well Row,Well Col,Content,Raw Data (No filter),
A,1,Sample X1,242881,
A,2,Sample X2,279515,
A,3,Sample X3,262010,
A,4,Sample X4,269310,
A,5,Sample X5,285703,
A,6,Sample X6,277738,
A,7,Sample X7,215203,
A,8,Sample X8,290446,
A,9,Sample X9,1467,
A,10,Sample X10,259,
A,11,Sample X11,259,
A,12,Sample X12,287,
A,13,Sample X13,111392,
A,14,Sample X14,253329,
A,15,Sample X15,243042,
A,16,Sample X16,249706,
A,17,Sample X17,226978,
A,18,Sample X18,257308,
A,19,Sample X19,272371,
A,20,Sample X20,292984,
A,21,Sample X21,300744,
A,22,Sample X22,291341,
A,23,Sample X23,328838,
A,24,Sample X24,276803,
B,1,Sample X25,216431,
B,2,Sample X26,280194,
B,3,Sample X27,281608,
B,4,Sample X28,258223,
B,5,Sample X29,304859,
B,6,Sample X30,265156,
B,7,Sample X31,276861,
B,8,Sample X32,281986,
B,9,Sample X33,14594,
B,10,Sample X34,15038,
B,11,Sample X35,14964,
B,12,Sample X36,15604,
B,13,Sample X37,27199,
B,14,Sample X38,25930,
B,15,Sample X39,38522,
B,16,Sample X40,70359,
B,17,Sample X41,103338,
B,18,Sample X42,181178,
B,19,Sample X43,217686,
B,20,Sample X44,237076,
B,21,Sample X45,276605,
B,22,Sample X46,262712,
B,23,Sample X47,283691,
B,24,Sample X48,208026,
C,1,Sample X49,289323,
C,2,Sample X50,174156,
C,3,Sample X51,166008,
C,4,Sample X52,229884,
C,5,Sample X53,207619,
C,6,Sample X54,237525,
C,7,Sample X55,254139,
C,8,Sample X56,327397,
C,9,Sample X57,334300,
C,10,Sample X58,298438,
C,11,Sample X59,260775,
C,12,Sample X60,265489,
C,13,Sample X61,196712,
C,14,Sample X62,233723,
C,15,Sample X63,238254,
C,16,Sample X64,265749,
C,17,Sample X65,296258,
C,18,Sample X66,255729,
C,19,Sample X67,268253,
C,20,Sample X68,243776,
C,21,Sample X69,321395,
C,22,Sample X70,282025,
C,23,Sample X71,306412,
C,24,Sample X72,298080,
D,1,Sample X73,186788,
D,2,Sample X74,13803,
D,3,Sample X75,18287,
D,4,Sample X76,27513,
D,5,Sample X77,55221,
D,6,Sample X78,92824,
D,7,Sample X79,78492,
D,8,Sample X80,139903,
D,9,Sample X81,189759,
D,10,Sample X82,287277,
D,11,Sample X83,208825,
D,12,Sample X84,297805,
D,13,Sample X85,276177,
D,14,Sample X86,286874,
D,15,Sample X87,267105,
D,16,Sample X88,310098,
D,17,Sample X89,266389,
D,18,Sample X90,260739,
