Well Row,Well Col,Content,Raw Data (No filter),
A,1,Sample X1,210023,
A,2,Sample X2,174182,
A,3,Sample X3,159092,
A,4,Sample X4,166706,
A,5,Sample X5,158403,
A,6,Sample X6,148202,
A,7,Sample X7,164072,
A,8,Sample X8,169470,
A,9,Sample X9,311,
A,10,Sample X10,192,
A,11,Sample X11,212,
A,12,Sample X12,237,
A,13,Sample X13,81285,
A,14,Sample X14,146386,
A,15,Sample X15,130142,
A,16,Sample X16,129556,
A,17,Sample X17,141188,
A,18,Sample X18,137023,
A,19,Sample X19,165157,
A,20,Sample X20,190171,
A,21,Sample X21,155283,
A,22,Sample X22,192877,
A,23,Sample X23,210166,
A,24,Sample X24,182271,
B,1,Sample X25,187917,
B,2,Sample X26,136146,
B,3,Sample X27,129840,
B,4,Sample X28,149566,
B,5,Sample X29,132252,
B,6,Sample X30,173110,
B,7,Sample X31,137818,
B,8,Sample X32,141685,
B,9,Sample X33,9475,
B,10,Sample X34,8452,
B,11,Sample X35,8571,
B,12,Sample X36,8658,
B,13,Sample X37,12324,
B,14,Sample X38,14290,
B,15,Sample X39,17605,
B,16,Sample X40,28892,
B,17,Sample X41,42789,
B,18,Sample X42,79336,
B,19,Sample X43,108041,
B,20,Sample X44,128195,
B,21,Sample X45,144704,
B,22,Sample X46,141520,
B,23,Sample X47,185723,
B,24,Sample X48,218660,
C,1,Sample X49,149880,
C,2,Sample X50,51284,
C,3,Sample X51,77087,
C,4,Sample X52,103792,
C,5,Sample X53,127378,
C,6,Sample X54,136031,
C,7,Sample X55,136684,
C,8,Sample X56,143996,
C,9,Sample X57,167520,
C,10,Sample X58,118634,
C,11,Sample X59,135948,
C,12,Sample X60,133166,
C,13,Sample X61,110488,
C,14,Sample X62,113952,
C,15,Sample X63,128231,
C,16,Sample X64,153007,
C,17,Sample X65,135368,
C,18,Sample X66,130589,
C,19,Sample X67,144639,
C,20,Sample X68,144968,
C,21,Sample X69,150088,
C,22,Sample X70,160760,
C,23,Sample X71,181714,
C,24,Sample X72,187472,
D,1,Sample X73,166568,
D,2,Sample X74,15739,
D,3,Sample X75,14740,
D,4,Sample X76,24008,
D,5,Sample X77,23679,
D,6,Sample X78,23195,
D,7,Sample X79,25962,
D,8,Sample X80,44377,
D,9,Sample X81,80495,
D,10,Sample X82,115023,
D,11,Sample X83,144388,
D,12,Sample X84,148074,
D,13,Sample X85,23063,
D,14,Sample X86,26832,
D,15,Sample X87,108707,
D,16,Sample X88,137535,
D,17,Sample X89,129817,
D,18,Sample X90,128087,
D,19,Sample X91,133383,
D,20,Sample X92,148499,
D,21,Sample X93,133846,
D,22,Sample X94,150010,
D,23,Sample X95,169902,
D,24,Sample X96,193308,
E,1,Sample X97,160738,
E,2,Sample X98,8037,
E,3,Sample X99,9572,
E,4,Sample X100,24281,
E,5,Sample X101,55133,
E,6,Sample X102,94717,
E,7,Sample X103,118235,
E,8,Sample X104,144222,
E,9,Sample X105,149289,
E,10,Sample X106,144041,
E,11,Sample X107,125814,
E,12,Sample X108,144317,
E,13,Sample X109,1199,
E,14,Sample X110,1118,
E,15,Sample X111,2121,
E,16,Sample X112,61572,
E,17,Sample X113,82361,
E,18,Sample X114,112292,
E,19,Sample X115,138591,
E,20,Sample X116,124222,
E,21,Sample X117,147051,
E,22,Sample X118,142156,
E,23,Sample X119,158445,
E,24,Sample X120,168502,
F,1,Sample X121,152071,
F,2,Sample X122,18016,
F,3,Sample X123,18703,
F,4,Sample X124,25499,
F,5,Sample X125,33626,
F,6,Sample X126,61835,
F,7,Sample X127,61867,
F,8,Sample X128,87283,
F,9,Sample X129,128772,
F,10,Sample X130,148447,
F,11,Sample X131,162130,
F,12,Sample X132,128739,
F,13,Sample X133,51331,
F,14,Sample X134,75021,
F,15,Sample X135,93236,
F,16,Sample X136,141133,
F,17,Sample X137,127920,
F,18,Sample X138,136394,
F,19,Sample X139,147492,
F,20,Sample X140,145490,
F,21,Sample X141,132941,
F,22,Sample X142,130998,
F,23,Sample X143,148824,
F,24,Sample X144,216240,
G,1,Sample X145,177583,
G,2,Sample X146,1344,
G,3,Sample X147,1784,
G,4,Sample X148,146406,
G,5,Sample X149,129031,
G,6,Sample X150,139043,
G,7,Sample X151,136995,
G,8,Sample X152,155868,
G,9,Sample X153,167052,
G,10,Sample X154,152382,
G,11,Sample X155,149746,
G,12,Sample X156,160278,
G,13,Sample X157,71370,
G,14,Sample X158,84391,
G,15,Sample X159,92336,
G,16,Sample X160,120401,
G,17,Sample X161,127872,
G,18,Sample X162,137954,
G,19,Sample X163,133533,
G,20,Sample X164,160829,
G,21,Sample X165,149840,
G,22,Sample X166,131527,
G,23,Sample X167,166783,
G,24,Sample X168,189563,
H,1,Sample X169,198196,
H,2,Sample X170,8194,
H,3,Sample X171,17898,
H,4,Sample X172,69776,
H,5,Sample X173,168061,
H,6,Sample X174,171210,
H,7,Sample X175,175324,
H,8,Sample X176,172131,
H,9,Sample X177,158427,
H,10,Sample X178,156481,
H,11,Sample X179,147488,
H,12,Sample X180,152241,
H,13,Sample X181,10952,
H,14,Sample X182,32536,
H,15,Sample X183,106489,
H,16,Sample X184,114136,
H,17,Sample X185,184359,
H,18,Sample X186,167085,
H,19,Sample X187,123845,
H,20,Sample X188,146322,
H,21,Sample X189,157873,
H,22,Sample X190,150614,
H,23,Sample X191,138146,
H,24,Sample X192,190494,
I,1,Sample X193,169630,
I,2,Sample X194,59857,
I,3,Sample X195,55695,
I,4,Sample X196,70395,
I,5,Sample X197,107904,
I,6,Sample X198,115693,
I,7,Sample X199,152695,
I,8,Sample X200,142938,
I,9,Sample X201,158010,
I,10,Sample X202,138898,
I,11,Sample X203,147324,
I,12,Sample X204,159059,
I,13,Sample X205,132291,
I,14,Sample X206,146425,
I,15,Sample X207,161216,
I,16,Sample X208,165750,
I,17,Sample X209,133440,
I,18,Sample X210,33455,
I,19,Sample X211,52614,
I,20,Sample X212,98613,
I,21,Sample X213,150659,
I,22,Sample X214,150160,
I,23,Sample X215,132351,
I,24,Sample X216,179309,
J,1,Sample X217,155684,
J,2,Sample X218,9730,
J,3,Sample X219,14106,
J,4,Sample X220,33484,
J,5,Sample X221,75764,
J,6,Sample X222,89939,
J,7,Sample X223,105403,
J,8,Sample X224,132214,
J,9,Sample X225,166914,
J,10,Sample X226,158756,
J,11,Sample X227,166884,
J,12,Sample X228,153944,
J,13,Sample X229,165027,
J,14,Sample X230,142866,
J,15,Sample X231,138190,
J,16,Sample X232,150880,
J,17,Sample X233,155624,
J,18,Sample X234,151817,
J,19,Sample X235,137688,
J,20,Sample X236,140303,
J,21,Sample X237,161860,
J,22,Sample X238,132592,
J,23,Sample X239,157594,
J,24,Sample X240,169195,
K,1,Sample X241,189048,
K,2,Sample X242,86983,
K,3,Sample X243,114967,
K,4,Sample X244,129378,
K,5,Sample X245,136385,
K,6,Sample X246,156529,
K,7,Sample X247,148597,
K,8,Sample X248,160154,
K,9,Sample X249,153169,
K,10,Sample X250,133827,
K,11,Sample X251,149454,
K,12,Sample X252,161122,
K,13,Sample X253,1414,
K,14,Sample X254,1371,
K,15,Sample X255,3475,
K,16,Sample X256,41362,
K,17,Sample X257,106850,
K,18,Sample X258,128797,
K,19,Sample X259,142448,
K,20,Sample X260,130625,
K,21,Sample X261,172359,
K,22,Sample X262,170957,
K,23,Sample X263,157846,
K,24,Sample X264,185774,
L,1,Sample X265,181792,
L,2,Sample X266,54873,
L,3,Sample X267,80153,
L,4,Sample X268,100080,
L,5,Sample X269,107232,
L,6,Sample X270,106988,
L,7,Sample X271,123650,
L,8,Sample X272,115617,
L,9,Sample X273,110980,
L,10,Sample X274,150429,
L,11,Sample X275,133663,
L,12,Sample X276,165472,
L,13,Sample X277,134398,
L,14,Sample X278,128277,
L,15,Sample X279,144666,
L,16,Sample X280,142472,
L,17,Sample X281,166323,
L,18,Sample X282,149106,
L,19,Sample X283,129496,
L,20,Sample X284,147098,
L,21,Sample X285,155368,
L,22,Sample X286,124466,
L,23,Sample X287,153836,
L,24,Sample X288,170486,
M,1,Sample X289,165063,
M,2,Sample X290,4891,
M,3,Sample X291,4570,
M,4,Sample X292,8139,
M,5,Sample X293,13683,
M,6,Sample X294,23898,
M,7,Sample X295,38894,
M,8,Sample X296,87784,
M,9,Sample X297,117325,
M,10,Sample X298,143919,
M,11,Sample X299,153697,
M,12,Sample X300,161499,
M,13,Sample X301,1922,
M,14,Sample X302,11561,
M,15,Sample X303,39244,
M,16,Sample X304,77399,
M,17,Sample X305,112064,
M,18,Sample X306,127122,
M,19,Sample X307,137593,
M,20,Sample X308,163218,
M,21,Sample X309,151455,
M,22,Sample X310,144440,
M,23,Sample X311,157237,
M,24,Sample X312,170723,
N,1,Sample X313,216686,
N,2,Sample X314,6931,
N,3,Sample X315,20322,
N,4,Sample X316,55530,
N,5,Sample X317,99287,
N,6,Sample X318,115389,
N,7,Sample X319,156971,
N,8,Sample X320,161059,
N,9,Sample X321,169598,
N,10,Sample X322,156365,
N,11,Sample X323,127614,
N,12,Sample X324,156209,
N,13,Sample X325,15862,
N,14,Sample X326,40768,
N,15,Sample X327,89625,
N,16,Sample X328,113914,
N,17,Sample X329,112136,
N,18,Sample X330,157713,
N,19,Sample X331,125599,
N,20,Sample X332,141886,
N,21,Sample X333,154082,
N,22,Sample X334,118830,
N,23,Sample X335,148661,
N,24,Sample X336,152576,
O,1,Sample X337,194175,
O,2,Sample X338,188308,
O,3,Sample X339,170105,
O,4,Sample X340,178844,
O,5,Sample X341,154132,
O,6,Sample X342,173017,
