Well Row,Well Col,Content,Raw Data (No filter),
A,1,Sample X1,197437,
A,2,Sample X2,182417,
A,3,Sample X3,179839,
A,4,Sample X4,176994,
A,5,Sample X5,151338,
A,6,Sample X6,180770,
A,7,Sample X7,163149,
A,8,Sample X8,165555,
A,9,Sample X9,323,
A,10,Sample X10,227,
A,11,Sample X11,259,
A,12,Sample X12,304,
A,13,Sample X13,77488,
A,14,Sample X14,134509,
A,15,Sample X15,117888,
A,16,Sample X16,165920,
A,17,Sample X17,168557,
A,18,Sample X18,158701,
A,19,Sample X19,158226,
A,20,Sample X20,166133,
A,21,Sample X21,162047,
A,22,Sample X22,188908,
A,23,Sample X23,202326,
A,24,Sample X24,171098,
B,1,Sample X25,172640,
B,2,Sample X26,149325,
B,3,Sample X27,145959,
B,4,Sample X28,146542,
B,5,Sample X29,171085,
B,6,Sample X30,167882,
B,7,Sample X31,163414,
B,8,Sample X32,166850,
B,9,Sample X33,9030,
B,10,Sample X34,11466,
B,11,Sample X35,11511,
B,12,Sample X36,10744,
B,13,Sample X37,12154,
B,14,Sample X38,15426,
B,15,Sample X39,21498,
B,16,Sample X40,35120,
B,17,Sample X41,48713,
B,18,Sample X42,86174,
B,19,Sample X43,114215,
B,20,Sample X44,144151,
B,21,Sample X45,135143,
B,22,Sample X46,159241,
B,23,Sample X47,163568,
B,24,Sample X48,150573,
C,1,Sample X49,150274,
C,2,Sample X50,100291,
C,3,Sample X51,96870,
C,4,Sample X52,130086,
C,5,Sample X53,139760,
C,6,Sample X54,183543,
C,7,Sample X55,149814,
C,8,Sample X56,172363,
C,9,Sample X57,152968,
C,10,Sample X58,169650,
C,11,Sample X59,133182,
C,12,Sample X60,150691,
C,13,Sample X61,104430,
C,14,Sample X62,122393,
C,15,Sample X63,143437,
C,16,Sample X64,160707,
C,17,Sample X65,136209,
C,18,Sample X66,129961,
C,19,Sample X67,149027,
C,20,Sample X68,193271,
C,21,Sample X69,162386,
C,22,Sample X70,149540,
C,23,Sample X71,180290,
C,24,Sample X72,178390,
D,1,Sample X73,114610,
D,2,Sample X74,6742,
D,3,Sample X75,8934,
D,4,Sample X76,11758,
D,5,Sample X77,22356,
D,6,Sample X78,33304,
D,7,Sample X79,43345,
D,8,Sample X80,82687,
D,9,Sample X81,108845,
D,10,Sample X82,140238,
D,11,Sample X83,157803,
D,12,Sample X84,139299,
D,13,Sample X85,146312,
D,14,Sample X86,145281,
D,15,Sample X87,137651,
D,16,Sample X88,157989,
D,17,Sample X89,153167,
D,18,Sample X90,137112,
D,19,Sample X91,134702,
D,20,Sample X92,148816,
D,21,Sample X93,159636,
D,22,Sample X94,139689,
D,23,Sample X95,165763,
D,24,Sample X96,145259,
E,1,Sample X97,170229,
E,2,Sample X98,56179,
E,3,Sample X99,68564,
E,4,Sample X100,105582,
E,5,Sample X101,128744,
E,6,Sample X102,166365,
E,7,Sample X103,155066,
E,8,Sample X104,155824,
E,9,Sample X105,162619,
E,10,Sample X106,147719,
E,11,Sample X107,129497,
E,12,Sample X108,137639,
E,13,Sample X109,13173,
E,14,Sample X110,39879,
E,15,Sample X111,67003,
E,16,Sample X112,101416,
E,17,Sample X113,116933,
E,18,Sample X114,168738,
E,19,Sample X115,168505,
E,20,Sample X116,170728,
E,21,Sample X117,151757,
E,22,Sample X118,162321,
E,23,Sample X119,171189,
E,24,Sample X120,164432,
F,1,Sample X121,145230,
F,2,Sample X122,96186,
F,3,Sample X123,120745,
F,4,Sample X124,132136,
F,5,Sample X125,167469,
F,6,Sample X126,180308,
F,7,Sample X127,155585,
F,8,Sample X128,171067,
F,9,Sample X129,144302,
F,10,Sample X130,150491,
F,11,Sample X131,151296,
F,12,Sample X132,124489,
F,13,Sample X133,2233,
F,14,Sample X134,1899,
F,15,Sample X135,56556,
F,16,Sample X136,103066,
F,17,Sample X137,143251,
F,18,Sample X138,129860,
F,19,Sample X139,141959,
F,20,Sample X140,135016,
F,21,Sample X141,170135,
F,22,Sample X142,184476,
F,23,Sample X143,136553,
F,24,Sample X144,165015,
G,1,Sample X145,161403,
G,2,Sample X146,1795,
G,3,Sample X147,1783,
G,4,Sample X148,2348,
G,5,Sample X149,58371,
G,6,Sample X150,134791,
G,7,Sample X151,121860,
G,8,Sample X152,157057,
G,9,Sample X153,160018,
G,10,Sample X154,152159,
G,11,Sample X155,152756,
G,12,Sample X156,146114,
