Well Row,Well Col,Content, Raw Data (530-15/590-20),
A,1,Sample X1,130641,
A,2,Sample X2,122494,
A,3,Sample X3,126705,
A,4,Sample X4,119956,
A,5,Sample X5,119893,
A,6,Sample X6,119902,
A,7,Sample X7,122690,
A,8,Sample X8,117270,
A,9,Sample X9,2450,
A,10,Sample X10,2445,
A,11,Sample X11,2407,
A,12,Sample X12,2450,
A,13,Sample X13,61218,
A,14,Sample X14,82701,
A,15,Sample X15,89158,
A,16,Sample X16,98171,
A,17,Sample X17,106378,
A,18,Sample X18,107497,
A,19,Sample X19,108941,
A,20,Sample X20,112873,
A,21,Sample X21,111364,
A,22,Sample X22,117490,
A,23,Sample X23,119752,
A,24,Sample X24,116612,
B,1,Sample X25,128930,
B,2,Sample X26,121185,
B,3,Sample X27,117553,
B,4,Sample X28,119464,
B,5,Sample X29,115935,
B,6,Sample X30,117535,
B,7,Sample X31,120966,
B,8,Sample X32,122349,
B,9,Sample X33,70401,
B,10,Sample X34,71559,
B,11,Sample X35,72737,
B,12,Sample X36,68422,
B,13,Sample X37,109508,
B,14,Sample X38,118196,
B,15,Sample X39,124245,
B,16,Sample X40,119836,
B,17,Sample X41,117937,
B,18,Sample X42,114580,
B,19,Sample X43,111702,
B,20,Sample X44,110725,
B,21,Sample X45,116030,
B,22,Sample X46,123892,
B,23,Sample X47,117830,
B,24,Sample X48,112819,
C,1,Sample X49,123052,
C,2,Sample X50,124051,
C,3,Sample X51,117641,
C,4,Sample X52,118482,
C,5,Sample X53,115673,
C,6,Sample X54,113662,
C,7,Sample X55,118631,
C,8,Sample X56,117542,
C,9,Sample X57,114770,
C,10,Sample X58,106763,
C,11,Sample X59,115297,
C,12,Sample X60,107542,
C,13,Sample X61,117689,
C,14,Sample X62,109089,
C,15,Sample X63,107412,
C,16,Sample X64,105622,
C,17,Sample X65,101741,
C,18,Sample X66,110731,
C,19,Sample X67,106860,
C,20,Sample X68,99689,
C,21,Sample X69,105870,
C,22,Sample X70,111931,
C,23,Sample X71,115984,
C,24,Sample X72,114138,
D,1,Sample X73,129474,
D,2,Sample X74,109950,
D,3,Sample X75,111931,
D,4,Sample X76,104962,
D,5,Sample X77,107744,
D,6,Sample X78,110587,
D,7,Sample X79,106462,
D,8,Sample X80,113919,
D,9,Sample X81,107066,
D,10,Sample X82,105828,
D,11,Sample X83,85851,
D,12,Sample X84,96382,
D,13,Sample X85,105883,
D,14,Sample X86,103805,
D,15,Sample X87,101589,
D,16,Sample X88,102947,
D,17,Sample X89,96540,
D,18,Sample X90,93092,
D,19,Sample X91,102294,
D,20,Sample X92,97535,
D,21,Sample X93,69285,
D,22,Sample X94,107986,
D,23,Sample X95,118014,
D,24,Sample X96,120425,
E,1,Sample X97,126778,
E,2,Sample X98,151311,
E,3,Sample X99,126383,
E,4,Sample X100,122490,
E,5,Sample X101,118108,
E,6,Sample X102,105499,
E,7,Sample X103,111868,
E,8,Sample X104,109927,
E,9,Sample X105,99883,
E,10,Sample X106,103913,
E,11,Sample X107,102224,
E,12,Sample X108,108482,
E,13,Sample X109,111291,
E,14,Sample X110,104911,
E,15,Sample X111,104862,
E,16,Sample X112,103943,
E,17,Sample X113,112365,
E,18,Sample X114,95923,
E,19,Sample X115,52378,
E,20,Sample X116,72462,
E,21,Sample X117,91097,
E,22,Sample X118,102313,
E,23,Sample X119,110347,
E,24,Sample X120,118461,
F,1,Sample X121,129982,
F,2,Sample X122,128128,
F,3,Sample X123,113247,
F,4,Sample X124,107348,
F,5,Sample X125,111654,
F,6,Sample X126,105662,
F,7,Sample X127,104672,
F,8,Sample X128,106925,
F,9,Sample X129,111432,
F,10,Sample X130,103375,
F,11,Sample X131,104664,
F,12,Sample X132,101215,
F,13,Sample X133,2939,
F,14,Sample X134,2949,
F,15,Sample X135,87770,
F,16,Sample X136,89541,
F,17,Sample X137,98855,
F,18,Sample X138,55274,
F,19,Sample X139,88465,
F,20,Sample X140,54731,
F,21,Sample X141,90964,
F,22,Sample X142,113520,
F,23,Sample X143,112854,
F,24,Sample X144,116126,
G,1,Sample X145,125323,
G,2,Sample X146,3229,
G,3,Sample X147,3186,
G,4,Sample X148,3196,
G,5,Sample X149,66841,
G,6,Sample X150,90926,
G,7,Sample X151,109142,
G,8,Sample X152,110842,
G,9,Sample X153,107990,
G,10,Sample X154,105848,
G,11,Sample X155,103762,
G,12,Sample X156,106944,
G,13,Sample X157,105695,
G,14,Sample X158,98469,
G,15,Sample X159,105935,
G,16,Sample X160,82800,
G,17,Sample X161,97303,
G,18,Sample X162,86541,
G,19,Sample X163,87282,
G,20,Sample X164,91156,
G,21,Sample X165,97435,
G,22,Sample X166,106659,
G,23,Sample X167,117990,
G,24,Sample X168,116595,
H,1,Sample X169,121778,
H,2,Sample X170,131326,
H,3,Sample X171,127327,
H,4,Sample X172,108823,
H,5,Sample X173,110428,
H,6,Sample X174,109082,
H,7,Sample X175,113459,
H,8,Sample X176,108495,
H,9,Sample X177,107422,
H,10,Sample X178,104987,
H,11,Sample X179,99170,
H,12,Sample X180,112276,
H,13,Sample X181,77319,
H,14,Sample X182,98786,
H,15,Sample X183,94537,
H,16,Sample X184,67556,
H,17,Sample X185,71045,
H,18,Sample X186,46016,
H,19,Sample X187,93888,
H,20,Sample X188,60348,
H,21,Sample X189,85435,
H,22,Sample X190,112927,
H,23,Sample X191,119988,
H,24,Sample X192,121732,
I,1,Sample X193,120843,
I,2,Sample X194,107165,
I,3,Sample X195,124336,
I,4,Sample X196,118975,
I,5,Sample X197,114299,
I,6,Sample X198,114017,
I,7,Sample X199,119722,
I,8,Sample X200,114902,
I,9,Sample X201,113828,
I,10,Sample X202,108264,
I,11,Sample X203,111104,
I,12,Sample X204,96877,
I,13,Sample X205,90949,
I,14,Sample X206,91089,
I,15,Sample X207,87808,
I,16,Sample X208,94243,
I,17,Sample X209,65325,
I,18,Sample X210,85478,
I,19,Sample X211,82970,
I,20,Sample X212,70091,
I,21,Sample X213,97780,
I,22,Sample X214,109283,
I,23,Sample X215,121279,
I,24,Sample X216,126730,
J,1,Sample X217,130321,
J,2,Sample X218,124553,
J,3,Sample X219,116478,
J,4,Sample X220,109363,
J,5,Sample X221,109416,
J,6,Sample X222,109868,
J,7,Sample X223,111798,
J,8,Sample X224,107039,
J,9,Sample X225,103959,
J,10,Sample X226,106609,
J,11,Sample X227,97774,
J,12,Sample X228,104073,
J,13,Sample X229,98600,
J,14,Sample X230,96975,
J,15,Sample X231,97624,
J,16,Sample X232,74827,
J,17,Sample X233,58709,
J,18,Sample X234,92966,
J,19,Sample X235,90216,
J,20,Sample X236,64545,
J,21,Sample X237,96412,
J,22,Sample X238,103025,
J,23,Sample X239,123836,
J,24,Sample X240,123481,
K,1,Sample X241,133874,
K,2,Sample X242,95180,
K,3,Sample X243,102975,
K,4,Sample X244,109407,
K,5,Sample X245,110181,
K,6,Sample X246,108800,
K,7,Sample X247,110016,
K,8,Sample X248,112681,
K,9,Sample X249,101615,
K,10,Sample X250,96989,
K,11,Sample X251,105253,
K,12,Sample X252,99460,
K,13,Sample X253,78698,
K,14,Sample X254,91996,
K,15,Sample X255,103521,
K,16,Sample X256,54367,
K,17,Sample X257,72736,
K,18,Sample X258,99133,
K,19,Sample X259,78972,
K,20,Sample X260,55309,
K,21,Sample X261,102799,
K,22,Sample X262,109736,
K,23,Sample X263,123285,
K,24,Sample X264,123575,
L,1,Sample X265,128427,
L,2,Sample X266,127958,
L,3,Sample X267,118451,
L,4,Sample X268,117474,
L,5,Sample X269,113080,
L,6,Sample X270,114709,
L,7,Sample X271,102795,
L,8,Sample X272,105948,
L,9,Sample X273,102657,
L,10,Sample X274,102180,
L,11,Sample X275,109795,
L,12,Sample X276,70436,
L,13,Sample X277,105537,
L,14,Sample X278,95869,
L,15,Sample X279,96453,
L,16,Sample X280,57202,
L,17,Sample X281,93070,
L,18,Sample X282,89789,
L,19,Sample X283,53799,
L,20,Sample X284,73313,
L,21,Sample X285,98865,
L,22,Sample X286,108882,
L,23,Sample X287,118871,
L,24,Sample X288,122809,
M,1,Sample X289,128216,
M,2,Sample X290,123599,
M,3,Sample X291,118143,
M,4,Sample X292,114713,
M,5,Sample X293,113230,
M,6,Sample X294,116763,
M,7,Sample X295,113362,
M,8,Sample X296,102182,
M,9,Sample X297,113433,
M,10,Sample X298,104630,
M,11,Sample X299,105049,
M,12,Sample X300,111586,
M,13,Sample X301,84127,
M,14,Sample X302,66267,
M,15,Sample X303,100447,
M,16,Sample X304,99420,
M,17,Sample X305,85416,
M,18,Sample X306,94097,
M,19,Sample X307,99501,
M,20,Sample X308,103554,
M,21,Sample X309,104240,
M,22,Sample X310,111986,
M,23,Sample X311,116709,
M,24,Sample X312,120362,
N,1,Sample X313,130008,
N,2,Sample X314,127499,
N,3,Sample X315,120125,
N,4,Sample X316,116938,
N,5,Sample X317,119528,
N,6,Sample X318,115634,
N,7,Sample X319,115058,
N,8,Sample X320,127381,
N,9,Sample X321,106690,
N,10,Sample X322,112115,
N,11,Sample X323,112517,
N,12,Sample X324,106239,
N,13,Sample X325,110836,
N,14,Sample X326,112977,
