Well Row,Well Col,Content, Raw Data (530-15/590-20),
A,1,Sample X1,85210,
A,2,Sample X2,149241,
A,3,Sample X3,148451,
A,4,Sample X4,150986,
A,5,Sample X5,147711,
A,6,Sample X6,148399,
A,7,Sample X7,147839,
A,8,Sample X8,157800,
A,9,Sample X9,2397,
A,10,Sample X10,2385,
A,11,Sample X11,2405,
A,12,Sample X12,2349,
A,13,Sample X13,45906,
A,14,Sample X14,110909,
A,15,Sample X15,125160,
A,16,Sample X16,124007,
A,17,Sample X17,143891,
A,18,Sample X18,138979,
A,19,Sample X19,148014,
A,20,Sample X20,131725,
A,21,Sample X21,141781,
A,22,Sample X22,155261,
A,23,Sample X23,150663,
A,24,Sample X24,145788,
B,1,Sample X25,89085,
B,2,Sample X26,152492,
B,3,Sample X27,155657,
B,4,Sample X28,153505,
B,5,Sample X29,144760,
B,6,Sample X30,147195,
B,7,Sample X31,125969,
B,8,Sample X32,151294,
B,9,Sample X33,104521,
B,10,Sample X34,107935,
B,11,Sample X35,106800,
B,12,Sample X36,105845,
B,13,Sample X37,152217,
B,14,Sample X38,160491,
B,15,Sample X39,151915,
B,16,Sample X40,152778,
B,17,Sample X41,149063,
B,18,Sample X42,126100,
B,19,Sample X43,150703,
B,20,Sample X44,144705,
B,21,Sample X45,149776,
B,22,Sample X46,147885,
B,23,Sample X47,150679,
B,24,Sample X48,147198,
C,1,Sample X49,142319,
C,2,Sample X50,157091,
C,3,Sample X51,158284,
C,4,Sample X52,152493,
C,5,Sample X53,151684,
C,6,Sample X54,153735,
C,7,Sample X55,166753,
C,8,Sample X56,144161,
C,9,Sample X57,158759,
C,10,Sample X58,143423,
C,11,Sample X59,145488,
C,12,Sample X60,158831,
C,13,Sample X61,143753,
C,14,Sample X62,105616,
C,15,Sample X63,141560,
C,16,Sample X64,154825,
C,17,Sample X65,140315,
C,18,Sample X66,149249,
C,19,Sample X67,148545,
C,20,Sample X68,151145,
C,21,Sample X69,150869,
C,22,Sample X70,154437,
C,23,Sample X71,148963,
C,24,Sample X72,155860,
D,1,Sample X73,150754,
D,2,Sample X74,118744,
D,3,Sample X75,136798,
D,4,Sample X76,150743,
D,5,Sample X77,166176,
D,6,Sample X78,162938,
D,7,Sample X79,160249,
D,8,Sample X80,156625,
D,9,Sample X81,149225,
D,10,Sample X82,148716,
D,11,Sample X83,140587,
D,12,Sample X84,148862,
D,13,Sample X85,71261,
D,14,Sample X86,84376,
D,15,Sample X87,120490,
D,16,Sample X88,123147,
D,17,Sample X89,148008,
D,18,Sample X90,144945,
D,19,Sample X91,151035,
D,20,Sample X92,159832,
D,21,Sample X93,149993,
D,22,Sample X94,151919,
D,23,Sample X95,144122,
D,24,Sample X96,147034,
E,1,Sample X97,144896,
E,2,Sample X98,47073,
E,3,Sample X99,124298,
E,4,Sample X100,149921,
E,5,Sample X101,154276,
E,6,Sample X102,154476,
E,7,Sample X103,128457,
E,8,Sample X104,148215,
E,9,Sample X105,153443,
E,10,Sample X106,146423,
E,11,Sample X107,145516,
E,12,Sample X108,151913,
E,13,Sample X109,2613,
E,14,Sample X110,2999,
E,15,Sample X111,3353,
E,16,Sample X112,110349,
E,17,Sample X113,145168,
E,18,Sample X114,154016,
E,19,Sample X115,160172,
E,20,Sample X116,148598,
E,21,Sample X117,153775,
E,22,Sample X118,148529,
E,23,Sample X119,157876,
E,24,Sample X120,147920,
F,1,Sample X121,143948,
F,2,Sample X122,131468,
F,3,Sample X123,144642,
F,4,Sample X124,156226,
F,5,Sample X125,161036,
F,6,Sample X126,152395,
F,7,Sample X127,157397,
F,8,Sample X128,141642,
F,9,Sample X129,142662,
F,10,Sample X130,147704,
F,11,Sample X131,145899,
F,12,Sample X132,146914,
F,13,Sample X133,139934,
F,14,Sample X134,143492,
F,15,Sample X135,141387,
F,16,Sample X136,139648,
F,17,Sample X137,145865,
F,18,Sample X138,151767,
F,19,Sample X139,147119,
F,20,Sample X140,155722,
F,21,Sample X141,149420,
F,22,Sample X142,151449,
F,23,Sample X143,152042,
F,24,Sample X144,148525,
G,1,Sample X145,146800,
G,2,Sample X146,2849,
G,3,Sample X147,5243,
G,4,Sample X148,146905,
G,5,Sample X149,154532,
G,6,Sample X150,148749,
G,7,Sample X151,146568,
G,8,Sample X152,144548,
G,9,Sample X153,138707,
G,10,Sample X154,123665,
G,11,Sample X155,102268,
