Well Row,Well Col,Content, Raw Data (530-15/590-20),
A,1,Sample X1,157795,
A,2,Sample X2,151013,
A,3,Sample X3,148069,
A,4,Sample X4,153049,
A,5,Sample X5,156840,
A,6,Sample X6,150952,
A,7,Sample X7,151137,
A,8,Sample X8,150304,
A,9,Sample X9,1827,
A,10,Sample X10,1818,
A,11,Sample X11,1825,
A,12,Sample X12,1839,
A,13,Sample X13,82535,
A,14,Sample X14,105823,
A,15,Sample X15,128282,
A,16,Sample X16,132745,
A,17,Sample X17,137538,
A,18,Sample X18,146755,
A,19,Sample X19,146817,
A,20,Sample X20,145792,
A,21,Sample X21,147708,
A,22,Sample X22,149154,
A,23,Sample X23,147514,
A,24,Sample X24,148615,
B,1,Sample X25,158808,
B,2,Sample X26,158106,
B,3,Sample X27,146601,
B,4,Sample X28,149037,
B,5,Sample X29,146042,
B,6,Sample X30,145515,
B,7,Sample X31,151318,
B,8,Sample X32,151224,
B,9,Sample X33,105448,
B,10,Sample X34,102860,
B,11,Sample X35,107435,
B,12,Sample X36,103626,
B,13,Sample X37,135446,
B,14,Sample X38,146380,
B,15,Sample X39,152244,
B,16,Sample X40,160268,
B,17,Sample X41,156674,
B,18,Sample X42,149280,
B,19,Sample X43,148903,
B,20,Sample X44,151490,
B,21,Sample X45,151237,
B,22,Sample X46,156685,
B,23,Sample X47,154624,
B,24,Sample X48,155234,
C,1,Sample X49,150361,
C,2,Sample X50,156630,
C,3,Sample X51,152260,
C,4,Sample X52,155160,
C,5,Sample X53,153574,
C,6,Sample X54,156732,
C,7,Sample X55,141759,
C,8,Sample X56,144676,
C,9,Sample X57,146481,
C,10,Sample X58,153666,
C,11,Sample X59,139781,
C,12,Sample X60,132403,
C,13,Sample X61,142213,
C,14,Sample X62,148329,
C,15,Sample X63,145850,
C,16,Sample X64,146615,
C,17,Sample X65,147172,
C,18,Sample X66,151269,
C,19,Sample X67,155460,
C,20,Sample X68,149288,
C,21,Sample X69,151767,
C,22,Sample X70,152175,
C,23,Sample X71,148168,
C,24,Sample X72,153184,
D,1,Sample X73,157111,
D,2,Sample X74,132422,
D,3,Sample X75,143097,
D,4,Sample X76,150679,
D,5,Sample X77,146552,
D,6,Sample X78,152738,
D,7,Sample X79,149884,
D,8,Sample X80,144863,
D,9,Sample X81,143860,
D,10,Sample X82,138925,
D,11,Sample X83,148331,
D,12,Sample X84,146137,
D,13,Sample X85,142161,
D,14,Sample X86,150918,
D,15,Sample X87,146130,
D,16,Sample X88,150108,
D,17,Sample X89,153722,
D,18,Sample X90,142811,
D,19,Sample X91,142620,
D,20,Sample X92,147778,
D,21,Sample X93,145594,
D,22,Sample X94,145264,
D,23,Sample X95,148429,
D,24,Sample X96,153016,
E,1,Sample X97,154595,
E,2,Sample X98,157821,
E,3,Sample X99,156155,
E,4,Sample X100,154184,
E,5,Sample X101,147841,
E,6,Sample X102,153742,
E,7,Sample X103,147607,
E,8,Sample X104,142566,
E,9,Sample X105,142871,
E,10,Sample X106,142020,
E,11,Sample X107,145496,
E,12,Sample X108,147290,
E,13,Sample X109,137699,
E,14,Sample X110,152174,
E,15,Sample X111,149934,
E,16,Sample X112,147730,
E,17,Sample X113,151568,
E,18,Sample X114,157012,
E,19,Sample X115,147119,
E,20,Sample X116,146796,
E,21,Sample X117,149314,
E,22,Sample X118,152255,
E,23,Sample X119,151408,
E,24,Sample X120,154219,
F,1,Sample X121,151426,
F,2,Sample X122,145215,
F,3,Sample X123,141595,
F,4,Sample X124,138960,
F,5,Sample X125,138640,
F,6,Sample X126,140375,
F,7,Sample X127,138198,
F,8,Sample X128,127914,
F,9,Sample X129,139887,
F,10,Sample X130,141491,
F,11,Sample X131,146189,
F,12,Sample X132,148112,
F,13,Sample X133,2217,
F,14,Sample X134,2221,
F,15,Sample X135,128308,
F,16,Sample X136,154595,
F,17,Sample X137,152499,
F,18,Sample X138,147720,
F,19,Sample X139,149933,
F,20,Sample X140,148225,
F,21,Sample X141,150005,
F,22,Sample X142,146640,
F,23,Sample X143,155262,
F,24,Sample X144,148407,
G,1,Sample X145,151921,
G,2,Sample X146,2515,
G,3,Sample X147,2478,
G,4,Sample X148,2663,
G,5,Sample X149,122347,
G,6,Sample X150,133107,
G,7,Sample X151,135778,
G,8,Sample X152,145486,
G,9,Sample X153,142732,
