Well Row,Well Col,Content,Raw Data (No filter),
A,1,Sample X1,140939,
A,2,Sample X2,118965,
A,3,Sample X3,112320,
A,4,Sample X4,122513,
A,5,Sample X5,132846,
A,6,Sample X6,112541,
A,7,Sample X7,105447,
A,8,Sample X8,116960,
A,9,Sample X9,213,
A,10,Sample X10,137,
A,11,Sample X11,172,
A,12,Sample X12,174,
A,13,Sample X13,39966,
A,14,Sample X14,101315,
A,15,Sample X15,103025,
A,16,Sample X16,115944,
A,17,Sample X17,83255,
A,18,Sample X18,120119,
A,19,Sample X19,110723,
A,20,Sample X20,128167,
A,21,Sample X21,102910,
A,22,Sample X22,126324,
A,23,Sample X23,128540,
A,24,Sample X24,129808,
B,1,Sample X25,149852,
B,2,Sample X26,115490,
B,3,Sample X27,110905,
B,4,Sample X28,105821,
B,5,Sample X29,98099,
B,6,Sample X30,143185,
B,7,Sample X31,91187,
B,8,Sample X32,82155,
B,9,Sample X33,6169,
B,10,Sample X34,6018,
B,11,Sample X35,5300,
B,12,Sample X36,6047,
B,13,Sample X37,6831,
B,14,Sample X38,11290,
B,15,Sample X39,19801,
B,16,Sample X40,35569,
B,17,Sample X41,48774,
B,18,Sample X42,71073,
B,19,Sample X43,102318,
B,20,Sample X44,105335,
B,21,Sample X45,119142,
B,22,Sample X46,103057,
B,23,Sample X47,110018,
B,24,Sample X48,138461,
C,1,Sample X49,151469,
C,2,Sample X50,2012,
C,3,Sample X51,1593,
C,4,Sample X52,1631,
C,5,Sample X53,8740,
C,6,Sample X54,32426,
C,7,Sample X55,46839,
C,8,Sample X56,77106,
C,9,Sample X57,125386,
C,10,Sample X58,124815,
C,11,Sample X59,104310,
C,12,Sample X60,111167,
C,13,Sample X61,144200,
C,14,Sample X62,122595,
C,15,Sample X63,112998,
C,16,Sample X64,93923,
C,17,Sample X65,104695,
C,18,Sample X66,112254,
C,19,Sample X67,111065,
C,20,Sample X68,119590,
C,21,Sample X69,120064,
C,22,Sample X70,124817,
C,23,Sample X71,117741,
C,24,Sample X72,128955,
D,1,Sample X73,140995,
D,2,Sample X74,20715,
D,3,Sample X75,58815,
D,4,Sample X76,106285,
D,5,Sample X77,131183,
D,6,Sample X78,103112,
D,7,Sample X79,120690,
D,8,Sample X80,135914,
D,9,Sample X81,139626,
D,10,Sample X82,103465,
D,11,Sample X83,110783,
D,12,Sample X84,113499,
D,13,Sample X85,61084,
D,14,Sample X86,81802,
D,15,Sample X87,85164,
D,16,Sample X88,96113,
D,17,Sample X89,110141,
D,18,Sample X90,114170,
D,19,Sample X91,109242,
D,20,Sample X92,110434,
D,21,Sample X93,95472,
D,22,Sample X94,99902,
D,23,Sample X95,116104,
D,24,Sample X96,127532,
E,1,Sample X97,158471,
E,2,Sample X98,5245,
E,3,Sample X99,14210,
E,4,Sample X100,31523,
E,5,Sample X101,72525,
E,6,Sample X102,72610,
E,7,Sample X103,93517,
E,8,Sample X104,111536,
E,9,Sample X105,127144,
E,10,Sample X106,102267,
E,11,Sample X107,125078,
E,12,Sample X108,113682,
E,13,Sample X109,1206,
E,14,Sample X110,1280,
E,15,Sample X111,1402,
E,16,Sample X112,1503,
E,17,Sample X113,1682,
E,18,Sample X114,1794,
E,19,Sample X115,1487,
E,20,Sample X116,20144,
E,21,Sample X117,97771,
E,22,Sample X118,121876,
E,23,Sample X119,123039,
E,24,Sample X120,129761,
F,1,Sample X121,146402,
F,2,Sample X122,1778,
F,3,Sample X123,3544,
F,4,Sample X124,15043,
F,5,Sample X125,60642,
F,6,Sample X126,92235,
F,7,Sample X127,95776,
F,8,Sample X128,111319,
F,9,Sample X129,122323,
F,10,Sample X130,113152,
F,11,Sample X131,121316,
F,12,Sample X132,122686,
F,13,Sample X133,17655,
F,14,Sample X134,21586,
F,15,Sample X135,16530,
F,16,Sample X136,45359,
F,17,Sample X137,100129,
F,18,Sample X138,31671,
F,19,Sample X139,93325,
F,20,Sample X140,97238,
F,21,Sample X141,124675,
F,22,Sample X142,123677,
F,23,Sample X143,130180,
F,24,Sample X144,139102,
G,1,Sample X145,141590,
G,2,Sample X146,2643,
G,3,Sample X147,4690,
G,4,Sample X148,13563,
G,5,Sample X149,32664,
G,6,Sample X150,60462,
G,7,Sample X151,67643,
G,8,Sample X152,102763,
G,9,Sample X153,111920,
G,10,Sample X154,111645,
G,11,Sample X155,111921,
G,12,Sample X156,111138,
G,13,Sample X157,119665,
G,14,Sample X158,107027,
G,15,Sample X159,128932,
G,16,Sample X160,121472,
G,17,Sample X161,109979,
G,18,Sample X162,132134,
G,19,Sample X163,138906,
G,20,Sample X164,120722,
G,21,Sample X165,131270,
G,22,Sample X166,114748,
G,23,Sample X167,129663,
G,24,Sample X168,121165,
H,1,Sample X169,123630,
H,2,Sample X170,98328,
H,3,Sample X171,92240,
H,4,Sample X172,115254,
H,5,Sample X173,91058,
H,6,Sample X174,107520,
H,7,Sample X175,111444,
H,8,Sample X176,128322,
H,9,Sample X177,116804,
H,10,Sample X178,117598,
H,11,Sample X179,126505,
H,12,Sample X180,126361,
H,13,Sample X181,119343,
H,14,Sample X182,130229,
H,15,Sample X183,113157,
H,16,Sample X184,119077,
H,17,Sample X185,128594,
H,18,Sample X186,116846,
H,19,Sample X187,118974,
H,20,Sample X188,114813,
H,21,Sample X189,117192,
H,22,Sample X190,128461,
H,23,Sample X191,148686,
H,24,Sample X192,128744,
