Well Row,Well Col,Content, Raw Data (530-15/590-20),
A,1,Sample X1,179255,
A,2,Sample X2,161846,
A,3,Sample X3,158399,
A,4,Sample X4,166042,
A,5,Sample X5,168424,
A,6,Sample X6,163661,
A,7,Sample X7,166917,
A,8,Sample X8,162320,
A,9,Sample X9,2666,
A,10,Sample X10,2634,
A,11,Sample X11,2651,
A,12,Sample X12,2633,
A,13,Sample X13,85587,
A,14,Sample X14,125861,
A,15,Sample X15,128236,
A,16,Sample X16,135465,
A,17,Sample X17,152003,
A,18,Sample X18,151602,
A,19,Sample X19,154163,
A,20,Sample X20,145295,
A,21,Sample X21,143191,
A,22,Sample X22,156402,
A,23,Sample X23,142051,
A,24,Sample X24,162689,
B,1,Sample X25,175500,
B,2,Sample X26,172630,
B,3,Sample X27,163664,
B,4,Sample X28,161680,
B,5,Sample X29,162974,
B,6,Sample X30,163345,
B,7,Sample X31,159120,
B,8,Sample X32,162844,
B,9,Sample X33,125244,
B,10,Sample X34,123081,
B,11,Sample X35,116217,
B,12,Sample X36,126719,
B,13,Sample X37,157548,
B,14,Sample X38,169243,
B,15,Sample X39,169051,
B,16,Sample X40,163890,
B,17,Sample X41,159487,
B,18,Sample X42,160916,
B,19,Sample X43,152105,
B,20,Sample X44,162164,
B,21,Sample X45,155610,
B,22,Sample X46,166717,
B,23,Sample X47,162203,
B,24,Sample X48,149462,
C,1,Sample X49,177162,
C,2,Sample X50,164407,
C,3,Sample X51,166938,
C,4,Sample X52,159722,
C,5,Sample X53,162897,
C,6,Sample X54,169927,
C,7,Sample X55,174784,
C,8,Sample X56,166863,
C,9,Sample X57,160031,
C,10,Sample X58,150276,
C,11,Sample X59,154977,
C,12,Sample X60,163530,
C,13,Sample X61,149986,
C,14,Sample X62,152727,
C,15,Sample X63,155325,
C,16,Sample X64,163514,
C,17,Sample X65,158570,
C,18,Sample X66,152055,
C,19,Sample X67,149963,
C,20,Sample X68,148827,
C,21,Sample X69,140724,
C,22,Sample X70,151475,
C,23,Sample X71,154975,
C,24,Sample X72,152779,
D,1,Sample X73,164925,
D,2,Sample X74,141085,
D,3,Sample X75,148240,
D,4,Sample X76,154799,
D,5,Sample X77,164299,
D,6,Sample X78,166357,
D,7,Sample X79,163093,
D,8,Sample X80,161546,
D,9,Sample X81,156130,
D,10,Sample X82,157725,
D,11,Sample X83,153342,
D,12,Sample X84,147468,
D,13,Sample X85,94504,
D,14,Sample X86,96562,
D,15,Sample X87,118936,
D,16,Sample X88,134993,
D,17,Sample X89,144635,
D,18,Sample X90,146035,
D,19,Sample X91,145922,
D,20,Sample X92,150176,
D,21,Sample X93,156814,
D,22,Sample X94,154151,
D,23,Sample X95,154122,
D,24,Sample X96,154985,
E,1,Sample X97,168813,
E,2,Sample X98,58760,
E,3,Sample X99,136808,
E,4,Sample X100,145521,
E,5,Sample X101,162605,
E,6,Sample X102,154081,
E,7,Sample X103,149017,
E,8,Sample X104,154791,
E,9,Sample X105,150678,
E,10,Sample X106,156754,
E,11,Sample X107,150044,
E,12,Sample X108,149267,
E,13,Sample X109,3387,
E,14,Sample X110,3354,
E,15,Sample X111,3921,
E,16,Sample X112,108490,
E,17,Sample X113,137105,
E,18,Sample X114,146526,
E,19,Sample X115,137252,
E,20,Sample X116,143692,
E,21,Sample X117,139961,
E,22,Sample X118,153601,
E,23,Sample X119,151543,
E,24,Sample X120,154730,
F,1,Sample X121,173474,
F,2,Sample X122,172744,
F,3,Sample X123,171309,
F,4,Sample X124,160725,
F,5,Sample X125,157713,
F,6,Sample X126,155654,
F,7,Sample X127,151459,
F,8,Sample X128,149153,
F,9,Sample X129,153709,
F,10,Sample X130,149873,
F,11,Sample X131,148121,
F,12,Sample X132,149478,
F,13,Sample X133,153367,
F,14,Sample X134,138822,
F,15,Sample X135,145579,
F,16,Sample X136,130092,
F,17,Sample X137,126006,
F,18,Sample X138,146196,
F,19,Sample X139,141293,
F,20,Sample X140,143198,
F,21,Sample X141,137339,
F,22,Sample X142,142181,
F,23,Sample X143,138896,
F,24,Sample X144,152547,
G,1,Sample X145,170198,
G,2,Sample X146,3305,
G,3,Sample X147,3367,
G,4,Sample X148,147259,
G,5,Sample X149,147760,
G,6,Sample X150,146977,
G,7,Sample X151,136736,
G,8,Sample X152,147504,
G,9,Sample X153,156851,
G,10,Sample X154,149667,
G,11,Sample X155,152470,
G,12,Sample X156,152689,
G,13,Sample X157,156780,
G,14,Sample X158,162229,
G,15,Sample X159,151712,
G,16,Sample X160,163276,
G,17,Sample X161,138487,
G,18,Sample X162,150090,
G,19,Sample X163,148306,
G,20,Sample X164,138548,
G,21,Sample X165,145700,
G,22,Sample X166,150341,
G,23,Sample X167,159347,
G,24,Sample X168,157138,
H,1,Sample X169,170104,
H,2,Sample X170,113034,
H,3,Sample X171,127674,
H,4,Sample X172,142465,
H,5,Sample X173,148885,
H,6,Sample X174,156741,
H,7,Sample X175,154928,
H,8,Sample X176,149870,
H,9,Sample X177,147438,
H,10,Sample X178,147781,
H,11,Sample X179,151173,
H,12,Sample X180,145121,
H,13,Sample X181,104024,
H,14,Sample X182,119225,
H,15,Sample X183,131085,
H,16,Sample X184,119164,
H,17,Sample X185,141400,
H,18,Sample X186,149244,
H,19,Sample X187,141717,
H,20,Sample X188,136560,
H,21,Sample X189,153696,
H,22,Sample X190,155715,
H,23,Sample X191,154116,
H,24,Sample X192,153396,
I,1,Sample X193,178425,
I,2,Sample X194,169978,
I,3,Sample X195,164997,
I,4,Sample X196,167004,
I,5,Sample X197,159308,
I,6,Sample X198,148703,
I,7,Sample X199,155539,
I,8,Sample X200,148073,
I,9,Sample X201,145180,
I,10,Sample X202,140565,
I,11,Sample X203,151078,
I,12,Sample X204,155571,
I,13,Sample X205,157594,
I,14,Sample X206,147431,
I,15,Sample X207,143357,
I,16,Sample X208,143020,
I,17,Sample X209,137037,
I,18,Sample X210,151018,
I,19,Sample X211,152672,
I,20,Sample X212,152361,
I,21,Sample X213,148275,
I,22,Sample X214,159578,
I,23,Sample X215,157927,
I,24,Sample X216,160314,
J,1,Sample X217,172738,
J,2,Sample X218,168933,
J,3,Sample X219,165271,
J,4,Sample X220,155673,
J,5,Sample X221,148922,
J,6,Sample X222,143294,
J,7,Sample X223,148348,
J,8,Sample X224,143582,
J,9,Sample X225,148958,
J,10,Sample X226,149516,
J,11,Sample X227,146371,
J,12,Sample X228,146395,
J,13,Sample X229,141362,
J,14,Sample X230,145209,
J,15,Sample X231,141761,
J,16,Sample X232,146752,
J,17,Sample X233,137830,
J,18,Sample X234,143572,
J,19,Sample X235,141932,
J,20,Sample X236,144818,
J,21,Sample X237,143903,
J,22,Sample X238,151548,
J,23,Sample X239,170514,
J,24,Sample X240,159118,
K,1,Sample X241,167717,
K,2,Sample X242,141560,
K,3,Sample X243,144303,
K,4,Sample X244,146255,
K,5,Sample X245,143009,
K,6,Sample X246,158152,
K,7,Sample X247,145030,
K,8,Sample X248,144955,
K,9,Sample X249,138358,
K,10,Sample X250,141269,
K,11,Sample X251,143378,
K,12,Sample X252,145926,
K,13,Sample X253,2982,
K,14,Sample X254,8013,
K,15,Sample X255,127403,
K,16,Sample X256,131579,
K,17,Sample X257,138893,
K,18,Sample X258,137970,
K,19,Sample X259,149422,
K,20,Sample X260,139136,
K,21,Sample X261,145482,
K,22,Sample X262,147708,
K,23,Sample X263,161822,
K,24,Sample X264,155727,
L,1,Sample X265,163397,
L,2,Sample X266,178313,
L,3,Sample X267,163955,
L,4,Sample X268,161851,
L,5,Sample X269,142961,
L,6,Sample X270,149150,
L,7,Sample X271,146990,
L,8,Sample X272,150442,
L,9,Sample X273,146153,
L,10,Sample X274,145996,
L,11,Sample X275,143280,
L,12,Sample X276,145464,
L,13,Sample X277,135158,
L,14,Sample X278,134770,
L,15,Sample X279,138853,
L,16,Sample X280,135512,
L,17,Sample X281,135451,
L,18,Sample X282,142772,
L,19,Sample X283,144203,
L,20,Sample X284,135327,
L,21,Sample X285,143128,
L,22,Sample X286,143943,
L,23,Sample X287,151847,
L,24,Sample X288,171239,
M,1,Sample X289,169595,
M,2,Sample X290,173963,
M,3,Sample X291,170654,
M,4,Sample X292,164654,
M,5,Sample X293,162767,
M,6,Sample X294,166281,
M,7,Sample X295,156291,
M,8,Sample X296,157107,
M,9,Sample X297,151281,
M,10,Sample X298,149105,
M,11,Sample X299,157072,
M,12,Sample X300,154403,
M,13,Sample X301,3970,
M,14,Sample X302,138343,
M,15,Sample X303,148718,
M,16,Sample X304,149079,
M,17,Sample X305,162555,
M,18,Sample X306,128276,
M,19,Sample X307,146102,
M,20,Sample X308,144570,
M,21,Sample X309,150102,
M,22,Sample X310,145628,
